,game_id,season,club_home_pretty_name,club_away_pretty_name,competition_code,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals
13,2475187,2014,Fc Malaga,Athletic Bilbao,ES1,1. Matchday,2014-08-23,1084,621,1,0
35,2475185,2014,Ud Almeria,Espanyol Barcelona,ES1,1. Matchday,2014-08-23,3302,714,1,1
39,2475180,2014,Fc Sevilla,Fc Valencia,ES1,1. Matchday,2014-08-23,368,1049,1,1
12,2475188,2014,Fc Granada,Deportivo La Coruna,ES1,1. Matchday,2014-08-23,16795,897,2,1
33,2475186,2014,Sd Eibar,Real Sociedad San Sebastian,ES1,1. Matchday,2014-08-24,1533,681,1,0
36,2475183,2014,Celta Vigo,Fc Getafe,ES1,1. Matchday,2014-08-24,940,3709,3,1
38,2475181,2014,Ud Levante,Fc Villarreal,ES1,1. Matchday,2014-08-24,3368,1050,0,2
40,2475184,2014,Fc Barcelona,Fc Elche,ES1,1. Matchday,2014-08-24,131,1531,3,0
11,2475189,2014,Real Madrid,Fc Cordoba,ES1,1. Matchday,2014-08-25,418,993,2,0
37,2475182,2014,Rayo Vallecano,Atletico Madrid,ES1,1. Matchday,2014-08-25,367,13,0,0
10,2475190,2014,Fc Valencia,Fc Malaga,ES1,2. Matchday,2014-08-29,1049,1084,3,0
8,2475192,2014,Fc Getafe,Ud Almeria,ES1,2. Matchday,2014-08-29,3709,3302,1,0
1,2475199,2014,Athletic Bilbao,Ud Levante,ES1,2. Matchday,2014-08-30,621,3368,3,0
9,2475191,2014,Espanyol Barcelona,Fc Sevilla,ES1,2. Matchday,2014-08-30,714,368,1,2
5,2475195,2014,Atletico Madrid,Sd Eibar,ES1,2. Matchday,2014-08-30,13,1533,2,1
14,2475193,2014,Fc Cordoba,Celta Vigo,ES1,2. Matchday,2014-08-30,993,940,1,1
4,2475196,2014,Deportivo La Coruna,Rayo Vallecano,ES1,2. Matchday,2014-08-31,897,367,2,2
3,2475197,2014,Fc Elche,Fc Granada,ES1,2. Matchday,2014-08-31,1531,16795,1,1
2,2475198,2014,Fc Villarreal,Fc Barcelona,ES1,2. Matchday,2014-08-31,1050,131,0,1
7,2475194,2014,Real Sociedad San Sebastian,Real Madrid,ES1,2. Matchday,2014-08-31,681,418,4,2
15,2475202,2014,Ud Almeria,Fc Cordoba,ES1,3. Matchday,2014-09-12,3302,993,1,1
16,2475203,2014,Celta Vigo,Real Sociedad San Sebastian,ES1,3. Matchday,2014-09-13,940,681,2,2
17,2475204,2014,Real Madrid,Atletico Madrid,ES1,3. Matchday,2014-09-13,418,13,1,2
29,2475208,2014,Fc Barcelona,Athletic Bilbao,ES1,3. Matchday,2014-09-13,131,621,2,0
28,2475209,2014,Fc Malaga,Ud Levante,ES1,3. Matchday,2014-09-13,1084,3368,0,0
31,2475206,2014,Rayo Vallecano,Fc Elche,ES1,3. Matchday,2014-09-14,367,1531,2,3
30,2475207,2014,Fc Granada,Fc Villarreal,ES1,3. Matchday,2014-09-14,16795,1050,0,0
0,2475200,2014,Fc Valencia,Espanyol Barcelona,ES1,3. Matchday,2014-09-14,1049,714,3,1
6,2475201,2014,Fc Sevilla,Fc Getafe,ES1,3. Matchday,2014-09-14,368,3709,2,0
32,2475205,2014,Sd Eibar,Deportivo La Coruna,ES1,3. Matchday,2014-09-15,1533,897,0,1
21,2475216,2014,Fc Elche,Sd Eibar,ES1,4. Matchday,2014-09-19,1531,1533,0,2
23,2475214,2014,Atletico Madrid,Celta Vigo,ES1,4. Matchday,2014-09-20,13,940,2,2
22,2475215,2014,Deportivo La Coruna,Real Madrid,ES1,4. Matchday,2014-09-20,897,418,2,8
27,2475210,2014,Espanyol Barcelona,Fc Malaga,ES1,4. Matchday,2014-09-20,714,1084,2,2
19,2475218,2014,Athletic Bilbao,Fc Granada,ES1,4. Matchday,2014-09-20,621,16795,0,1
20,2475217,2014,Fc Villarreal,Rayo Vallecano,ES1,4. Matchday,2014-09-21,1050,367,4,2
