,Player_ID,goals,assists,minutes_played,Appearances,goals_assists_per_90,goals_assists_per_game
0,215,5,1,1331,29,0.405709992486852,0.20689655172413793
1,1726,1,0,1634,20,0.05507955936352509,0.05
2,2923,1,3,1333,20,0.2700675168792198,0.2
3,2963,0,0,773,12,0.0,0.0
4,3979,0,0,2880,32,0.0,0.0
5,4192,0,0,178,7,0.0,0.0
6,5169,1,1,716,14,0.25139664804469275,0.14285714285714285
7,5404,3,2,4407,62,0.10211027910142956,0.08064516129032258
8,5856,0,1,2936,40,0.030653950953678476,0.025
9,5957,0,0,1298,21,0.0,0.0
10,6119,0,0,1088,21,0.0,0.0
11,6585,5,2,874,16,0.7208237986270023,0.4375
12,6838,0,0,124,2,0.0,0.0
13,7492,0,0,519,8,0.0,0.0
14,7501,0,0,375,13,0.0,0.0
15,7512,1,0,1967,35,0.045754956786985254,0.02857142857142857
16,7542,0,1,2945,37,0.030560271646859084,0.02702702702702703
17,7568,0,0,3481,41,0.0,0.0
18,7593,0,2,7519,95,0.02393935363745179,0.021052631578947368
19,7600,2,7,7012,105,0.11551625784369653,0.08571428571428572
20,7607,2,8,1780,31,0.5056179775280899,0.3225806451612903
21,7631,1,0,2573,38,0.03497862417411582,0.02631578947368421
22,7663,24,25,11663,205,0.3781188373488811,0.23902439024390243
23,7717,7,10,3280,64,0.46646341463414637,0.265625
24,7767,27,10,4956,107,0.671912832929782,0.34579439252336447
25,7781,5,2,7859,96,0.08016287059422318,0.07291666666666667
26,7782,3,3,2310,67,0.23376623376623376,0.08955223880597014
27,7874,0,0,9031,103,0.0,0.0
28,7881,2,0,3413,40,0.0527395253442719,0.05
29,7914,0,1,9037,101,0.009959057209250858,0.009900990099009901
30,7922,18,16,6145,97,0.49796582587469485,0.35051546391752575
31,7923,3,12,6004,69,0.22485009993337773,0.21739130434782608
32,7945,0,0,2027,31,0.0,0.0
33,7983,0,2,1382,31,0.13024602026049203,0.06451612903225806
34,7989,3,1,1442,28,0.24965325936199723,0.14285714285714285
35,8060,1,0,1854,22,0.04854368932038835,0.045454545454545456
36,8108,0,0,207,5,0.0,0.0
37,8176,0,0,6032,68,0.0,0.0
38,8184,0,0,7668,88,0.0,0.0
39,8198,134,39,11124,127,1.3996763754045307,1.3622047244094488
40,8538,7,8,4098,57,0.32942898975109813,0.2631578947368421
41,9819,1,0,1251,14,0.07194244604316546,0.07142857142857142
42,11111,2,1,3807,48,0.07092198581560283,0.0625
43,11530,0,1,540,6,0.16666666666666666,0.16666666666666666
44,12249,17,20,11483,155,0.2899939040320474,0.23870967741935484
45,12906,0,0,188,3,0.0,0.0
46,13038,0,1,2749,37,0.032739177882866496,0.02702702702702703
47,13872,2,3,4137,50,0.10877447425670776,0.1
48,14132,5,4,5194,61,0.15594917212167886,0.14754098360655737
49,14259,1,0,540,6,0.16666666666666666,0.16666666666666666
50,14535,0,0,225,3,0.0,0.0
51,14937,0,0,180,2,0.0,0.0
52,14940,0,0,734,10,0.0,0.0
53,15452,1,0,9363,99,0.009612303748798462,0.010101010101010102
54,15461,0,1,69,2,1.3043478260869565,0.5
55,15500,0,0,31,3,0.0,0.0
56,15568,0,0,1563,28,0.0,0.0
57,15693,18,20,10130,135,0.33761105626850935,0.2814814814814815
58,15790,0,1,1197,34,0.07518796992481203,0.029411764705882353
59,15799,15,20,5108,70,0.6166797180892717,0.5
60,15804,1,1,1531,22,0.11757021554539517,0.09090909090909091
61,15904,1,1,2173,34,0.08283479061205706,0.058823529411764705
62,15951,1,13,5777,73,0.2181062835381686,0.1917808219178082
63,15956,2,21,12725,155,0.16267190569744597,0.14838709677419354
64,15983,1,1,5289,66,0.03403289846851957,0.030303030303030304
65,16135,4,1,560,11,0.8035714285714286,0.45454545454545453
66,16306,24,18,16725,208,0.22600896860986547,0.20192307692307693
67,16315,0,0,90,1,0.0,0.0
68,16458,0,0,2367,27,0.0,0.0
69,16595,0,0,988,12,0.0,0.0
70,16635,1,10,11027,132,0.08977963181282309,0.08333333333333333
71,16922,10,4,2232,31,0.564516129032258,0.45161290322580644
72,17129,0,0,408,8,0.0,0.0
73,17396,0,0,932,18,0.0,0.0
74,17491,0,3,2395,33,0.11273486430062629,0.09090909090909091
75,18006,3,9,6192,89,0.1744186046511628,0.1348314606741573
76,18091,0,0,724,13,0.0,0.0
77,18644,26,12,7216,124,0.47394678492239467,0.3064516129032258
78,18900,0,0,158,5,0.0,0.0
79,18922,150,71,20358,256,0.9770114942528736,0.86328125
80,18935,2,3,1843,23,0.24416711882799783,0.21739130434782608
81,18944,18,7,19718,227,0.11410893599756568,0.11013215859030837
82,19104,10,3,1951,35,0.5996924654023578,0.37142857142857144
83,19447,1,0,444,9,0.20270270270270271,0.1111111111111111
84,19636,0,0,42,2,0.0,0.0
85,19958,0,0,540,6,0.0,0.0
86,19979,0,0,5393,61,0.0,0.0
87,19981,1,3,7358,92,0.04892633867898886,0.043478260869565216
88,20005,8,3,2967,47,0.33367037411526795,0.23404255319148937
89,20346,11,0,3309,57,0.2991840435176791,0.19298245614035087
90,20506,3,16,9456,140,0.18083756345177665,0.1357142857142857
91,21297,0,0,54,6,0.0,0.0
92,21369,7,10,4401,68,0.34764826175869123,0.25
93,21725,7,15,9540,113,0.20754716981132074,0.19469026548672566
94,21748,0,0,128,7,0.0,0.0
95,22550,0,3,5444,63,0.049595885378398236,0.047619047619047616
96,22586,4,1,988,25,0.45546558704453444,0.2
97,22969,1,9,10730,137,0.08387698042870456,0.072992700729927
98,23102,0,0,199,9,0.0,0.0
99,23218,0,1,1575,18,0.05714285714285714,0.05555555555555555
100,23338,0,0,5664,65,0.0,0.0
101,25316,33,6,6541,83,0.5366151964531417,0.46987951807228917
102,25319,3,4,3301,59,0.19085125719478946,0.11864406779661017
103,25412,1,2,5283,78,0.05110732538330494,0.038461538461538464
104,25441,0,1,698,12,0.12893982808022922,0.08333333333333333
105,25461,0,0,131,4,0.0,0.0
106,25508,0,0,1799,20,0.0,0.0
107,25557,36,8,15742,182,0.25155634608054883,0.24175824175824176
108,26065,0,0,6124,69,0.0,0.0
109,26066,7,2,8077,102,0.10028475919276959,0.08823529411764706
110,26148,0,0,34,3,0.0,0.0
111,26199,6,7,4980,62,0.23493975903614456,0.20967741935483872
112,26443,0,1,390,15,0.23076923076923078,0.06666666666666667
113,27292,0,0,43,1,0.0,0.0
114,27374,4,4,13662,164,0.052700922266139656,0.04878048780487805
115,27389,59,18,10106,202,0.6857312487631111,0.3811881188118812
116,27448,0,0,2991,35,0.0,0.0
117,27453,1,0,1976,23,0.04554655870445344,0.043478260869565216
118,27470,4,0,1463,23,0.24606971975393027,0.17391304347826086
119,27486,0,0,6790,76,0.0,0.0
120,27487,0,1,1767,31,0.050933786078098474,0.03225806451612903
121,27493,0,2,14756,164,0.012198427758200054,0.012195121951219513
122,27924,0,0,4292,60,0.0,0.0
