,domestic_competition_id,player_id,pretty_name,last_season,current_club_id
0,ES1,164477,Ezequiel Rescaldani,2014,1084
1,ES1,73076,Jose Maria Lopez Silva,2014,993
2,ES1,73244,Jose Carlos,2014,993
3,ES1,35462,Jordi Codina,2014,3709
4,ES1,35448,Cezary Wilk,2014,897
5,ES1,282637,Ivan Perez,2014,13
6,ES1,75238,Inigo Lopez,2014,993
7,ES1,34564,Xisco,2014,993
8,ES1,282000,Carlos Ramos,2014,13
9,ES1,279090,Samu Araujo,2014,940
10,ES1,76699,Adrian Gunino,2014,993
11,ES1,81743,Fausto Rossi,2014,993
12,ES1,276050,Jose Antonio Peral,2014,1531
13,ES1,85326,Yeray Gomez,2014,3302
14,ES1,85349,Jordi Cesar,2014,3368
15,ES1,29065,Abel Gomez,2014,993
16,ES1,263862,Moha Traore,2014,1531
17,ES1,92813,Victor Perez,2014,3368
18,ES1,111082,Javier Aquino,2014,367
19,ES1,23102,Riki,2014,16795
20,ES1,249246,Edu Paya,2014,3709
21,ES1,104916,Diego Seoane,2014,897
22,ES1,251883,Gaspar Panadero,2014,3302
23,ES1,252688,Carlos Selfa,2014,3302
24,ES1,72935,Raul Rodriguez,2014,714
25,ES1,99349,Julian Luque,2014,714
26,ES1,27453,Diego Colotto,2014,714
27,ES1,95483,Abraham Minero,2014,1533
28,ES1,95480,Luso,2014,993
29,ES1,49795,Dejan Lekic,2014,1533
30,ES1,93330,Deivid,2014,993
31,ES1,257813,Jon Irazusta,2014,1533
32,ES1,253878,Pedro Astray,2014,3709
33,ES1,285957,Alex Felip,2014,3709
34,ES1,287282,Nico Hidalgo,2014,16795
35,ES1,287315,Fran Morante,2014,16795
36,ES1,57866,Adrian Colunga,2014,16795
37,ES1,57818,Michel Madera,2014,3709
38,ES1,44514,Federico Piovaccari,2014,1533
39,ES1,44674,Giovani Dos Santos,2014,1050
40,ES1,57800,Roberto Fernandez,2014,16795
41,ES1,57791,Diego Castro,2014,3709
42,ES1,57944,Sergio Pelegrin,2014,1531
43,ES1,55866,Sebastian Dubarbier,2014,3302
44,ES1,45710,Sammir,2014,3709
45,ES1,53239,Jonathan Pereira,2014,367
46,ES1,52428,Joaquin Larrivey,2014,940
47,ES1,47648,Dani Estrada,2014,681
48,ES1,51547,Mane,2014,3302
49,ES1,51535,Domingo Cisma,2014,1531
50,ES1,55135,Cristian Alvarez,2014,367
51,ES1,22586,Toche,2014,897
52,ES1,57961,Edu Albacar,2014,1531
53,ES1,351540,Jose Fran,2014,993
54,ES1,71601,Txema Anibarro,2014,1533
55,ES1,288454,Rafa Galvez,2014,1531
56,ES1,37399,Manu Del Moral,2014,1533
57,ES1,309007,Fran Serrano,2014,993
58,ES1,323169,Sergio Garcia,2014,993
59,ES1,65239,Jorge Morcillo,2014,367
60,ES1,354312,Pablo Villalon,2014,3709
61,ES1,39004,Juan Carlos,2014,1050
62,ES1,329648,Tena,2014,368
63,ES1,63706,Mikel Saizar,2014,993
64,ES1,337527,Marcos Remeseiro,2014,897
65,ES1,337529,Iago Lopez,2014,897
66,ES1,339152,Sekou Keita,2014,13
67,ES1,58774,Jose Manuel Casado,2014,3302
68,ES1,65233,Teerasil Dangda,2014,3302
69,ES1,246932,Nacho Huertas,2014,13
70,ES1,94414,Hector Yuste,2014,16795
71,ES1,138662,Alvaro Arroyo,2014,3709
72,ES1,15715,Borja Oubina,2014,940
73,ES1,217149,Antonio Marin,2014,3302
74,ES1,212863,Jaime Sanchez,2014,418
75,ES1,129483,Derik Osede,2014,418
76,ES1,14535,Iago Bouzon,2014,993
77,ES1,14111,Emilio Peixe,2014,368
78,ES1,210142,Charlie Essome,2014,3302
79,ES1,208715,Fredy Hinestroza,2014,3709
80,ES1,246244,Sergio Aguza,2014,418
81,ES1,200612,Pol Freixanet,2014,1531
82,ES1,199348,Dani Iglesias,2014,897
83,ES1,7989,Fernando Soriano,2014,3302
84,ES1,141832,Jose Carlos Alvarez,2014,1531
85,ES1,7945,Corona,2014,3302
86,ES1,142019,Felipe Alfonso,2014,1050
87,ES1,142023,Guillermo Fernandez,2014,621
88,ES1,142326,Philtzgerald Mbaka,2014,3709
89,ES1,2923,Andreas Ivanschitz,2014,3368
90,ES1,162043,Iker Hernandez,2014,681
91,ES1,6119,Mohamed Sissoko,2014,3368
92,ES1,6585,Kalu Uche,2014,3368
93,ES1,160182,Jose Angel,2014,1531
94,ES1,167830,Alex Perez,2014,3709
95,ES1,15790,Ferran Corominas,2014,1531
96,ES1,174706,Jonathan Zongo,2014,3302
97,ES1,175573,Nacho Porcar,2014,1531
98,ES1,7607,Xavi,2014,131
99,ES1,187673,Jose Angel Jurado,2014,3302
100,ES1,147462,Alexander Callens,2014,681
101,ES1,189525,Roberto Chen,2014,1084
102,ES1,193073,Miguel Banuz,2014,1050
103,ES1,175448,Juan Delgado,2014,3368
104,ES1,15804,Andoni Iraola,2014,621
105,ES1,51489,Aritz Lopez Garai,2014,993
106,ES1,126875,Sergio Marcos,2014,1050
107,ES1,237617,Cristian Herrera,2014,1531
108,ES1,120582,Agustin Cousillas,2014,1084
109,ES1,119622,Javi Lara,2014,1533
110,ES1,230485,Modesto,2014,368
111,ES1,229815,Alejandro Sanz,2014,681
112,ES1,226005,Franco Fragapane,2014,1531
113,ES1,126722,Edu Campabadal,2014,993
114,ES1,16595,Juan Valera,2014,3709
115,ES1,16315,Rafa Lopez,2014,3709
116,ES1,240039,Dani Pinillos,2014,993
117,ES1,18091,Derek Boateng,2014,1533
118,ES1,118008,Patrick Ekeng,2014,993
119,ES1,242287,Javi Jimenez,2014,1050
120,ES1,242827,Samuel Martinez,2014,1531
121,ES1,126748,Israel Puerto,2014,1050
122,ES1,343273,Joni Montiel,2015,367
123,ES1,253153,Alvaro Traver,2015,3368
