,Player_ID,goals,assists,minutes_played,Appearances,goals_assists_per_game
0,215,5,1,1331,29,0.20689655172413793
1,1726,1,0,1634,20,0.05
2,2923,1,3,1333,20,0.2
3,2963,0,0,773,12,0.0
4,3979,0,0,2880,32,0.0
5,4192,0,0,178,7,0.0
6,5169,1,1,716,14,0.14285714285714285
7,5404,3,2,4407,62,0.08064516129032258
8,5856,0,1,2936,40,0.025
9,5957,0,0,1298,21,0.0
10,6119,0,0,1088,21,0.0
11,6585,5,2,874,16,0.4375
12,6838,0,0,124,2,0.0
13,7492,0,0,519,8,0.0
14,7501,0,0,375,13,0.0
15,7512,1,0,1967,35,0.02857142857142857
16,7542,0,1,2945,37,0.02702702702702703
17,7568,0,0,3481,41,0.0
18,7593,0,2,7519,95,0.021052631578947368
19,7600,2,7,7012,105,0.08571428571428572
20,7607,2,8,1780,31,0.3225806451612903
21,7631,1,0,2573,38,0.02631578947368421
22,7663,24,25,11663,205,0.23902439024390243
23,7717,7,10,3280,64,0.265625
24,7767,27,10,4956,107,0.34579439252336447
25,7781,5,2,7859,96,0.07291666666666667
26,7782,3,3,2310,67,0.08955223880597014
27,7874,0,0,9031,103,0.0
28,7881,2,0,3413,40,0.05
29,7914,0,1,9037,101,0.009900990099009901
30,7922,18,16,6145,97,0.35051546391752575
31,7923,3,12,6004,69,0.21739130434782608
32,7945,0,0,2027,31,0.0
33,7983,0,2,1382,31,0.06451612903225806
34,7989,3,1,1442,28,0.14285714285714285
35,8060,1,0,1854,22,0.045454545454545456
36,8108,0,0,207,5,0.0
37,8176,0,0,6032,68,0.0
38,8184,0,0,7668,88,0.0
39,8198,134,39,11124,127,1.3622047244094488
40,8538,7,8,4098,57,0.2631578947368421
41,9819,1,0,1251,14,0.07142857142857142
42,11111,2,1,3807,48,0.0625
43,11530,0,1,540,6,0.16666666666666666
44,12249,17,20,11483,155,0.23870967741935484
45,12906,0,0,188,3,0.0
46,13038,0,1,2749,37,0.02702702702702703
47,13872,2,3,4137,50,0.1
48,14132,5,4,5194,61,0.14754098360655737
49,14259,1,0,540,6,0.16666666666666666
50,14535,0,0,225,3,0.0
51,14937,0,0,180,2,0.0
52,14940,0,0,734,10,0.0
53,15452,1,0,9363,99,0.010101010101010102
54,15461,0,1,69,2,0.5
55,15500,0,0,31,3,0.0
56,15568,0,0,1563,28,0.0
57,15693,18,20,10130,135,0.2814814814814815
58,15790,0,1,1197,34,0.029411764705882353
59,15799,15,20,5108,70,0.5
60,15804,1,1,1531,22,0.09090909090909091
61,15904,1,1,2173,34,0.058823529411764705
62,15951,1,13,5777,73,0.1917808219178082
63,15956,2,21,12725,155,0.14838709677419354
64,15983,1,1,5289,66,0.030303030303030304
65,16135,4,1,560,11,0.45454545454545453
66,16306,24,18,16725,208,0.20192307692307693
67,16315,0,0,90,1,0.0
68,16458,0,0,2367,27,0.0
69,16595,0,0,988,12,0.0
70,16635,1,10,11027,132,0.08333333333333333
71,16922,10,4,2232,31,0.45161290322580644
72,17129,0,0,408,8,0.0
73,17396,0,0,932,18,0.0
74,17491,0,3,2395,33,0.09090909090909091
75,18006,3,9,6192,89,0.1348314606741573
76,18091,0,0,724,13,0.0
77,18644,26,12,7216,124,0.3064516129032258
78,18900,0,0,158,5,0.0
79,18922,150,71,20358,256,0.86328125
80,18935,2,3,1843,23,0.21739130434782608
81,18944,18,7,19718,227,0.11013215859030837
82,19104,10,3,1951,35,0.37142857142857144
83,19447,1,0,444,9,0.1111111111111111
84,19636,0,0,42,2,0.0
85,19958,0,0,540,6,0.0
86,19979,0,0,5393,61,0.0
87,19981,1,3,7358,92,0.043478260869565216
88,20005,8,3,2967,47,0.23404255319148937
89,20346,11,0,3309,57,0.19298245614035087
90,20506,3,16,9456,140,0.1357142857142857
91,21297,0,0,54,6,0.0
92,21369,7,10,4401,68,0.25
93,21725,7,15,9540,113,0.19469026548672566
94,21748,0,0,128,7,0.0
95,22550,0,3,5444,63,0.047619047619047616
96,22586,4,1,988,25,0.2
97,22969,1,9,10730,137,0.072992700729927
98,23102,0,0,199,9,0.0
99,23218,0,1,1575,18,0.05555555555555555
100,23338,0,0,5664,65,0.0
101,25316,33,6,6541,83,0.46987951807228917
102,25319,3,4,3301,59,0.11864406779661017
103,25412,1,2,5283,78,0.038461538461538464
104,25441,0,1,698,12,0.08333333333333333
105,25461,0,0,131,4,0.0
106,25508,0,0,1799,20,0.0
107,25557,36,8,15742,182,0.24175824175824176
108,26065,0,0,6124,69,0.0
109,26066,7,2,8077,102,0.08823529411764706
110,26148,0,0,34,3,0.0
111,26199,6,7,4980,62,0.20967741935483872
112,26443,0,1,390,15,0.06666666666666667
113,27292,0,0,43,1,0.0
114,27374,4,4,13662,164,0.04878048780487805
115,27389,59,18,10106,202,0.3811881188118812
116,27448,0,0,2991,35,0.0
117,27453,1,0,1976,23,0.043478260869565216
118,27470,4,0,1463,23,0.17391304347826086
119,27486,0,0,6790,76,0.0
120,27487,0,1,1767,31,0.03225806451612903
121,27493,0,2,14756,164,0.012195121951219513
122,27924,0,0,4292,60,0.0
123,27992,19,42,17578,227,0.2687224669603524
124,28003,231,109,20545,243,1.3991769547325104
125,28005,1,1,907,13,0.15384615384615385
126,28171,10,13,7099,111,0.2072072072072072
127,28260,1,5,1367,28,0.21428571428571427
128,28261,3,7,3965,60,0.16666666666666666
129,28285,0,0,166,11,0.0
130,29051,0,0,5130,57,0.0
131,29055,0,2,1807,24,0.08333333333333333
132,29065,0,0,1258,22,0.0
133,29124,66,18,11052,164,0.5121951219512195
134,29178,0,0,271,16,0.0
135,29401,0,0,294,11,0.0
136,29559,0,0,4373,49,0.0
137,30321,5,14,4250,58,0.3275862068965517
138,30584,2,2,1718,20,0.2
139,30666,2,0,1479,24,0.08333333333333333
140,30677,4,3,11727,141,0.04964539007092199
141,30749,0,0,1467,17,0.0
142,30846,0,1,557,12,0.08333333333333333
143,30929,0,0,572,7,0.0
144,31909,19,61,20037,243,0.3292181069958848
145,32467,32,36,18579,272,0.25
146,32522,1,16,11703,156,0.10897435897435898
147,32622,0,0,560,9,0.0
148,33210,0,0,4081,47,0.0
149,33357,3,1,2025,23,0.17391304347826086
150,33448,0,0,64,6,0.0
151,33648,0,1,579,12,0.08333333333333333
152,33706,5,8,1846,25,0.52
153,34370,0,0,13798,155,0.0
154,34495,0,2,1386,24,0.08333333333333333
155,34564,1,0,231,9,0.1111111111111111
156,34572,12,5,1941,28,0.6071428571428571
157,34601,67,27,18516,269,0.34944237918215615
158,34870,28,21,7459,118,0.4152542372881356
159,35242,0,0,1807,22,0.0
160,35448,0,0,601,11,0.0
161,35462,0,0,450,5,0.0
162,35518,4,11,3564,46,0.32608695652173914
163,35536,0,0,2544,31,0.0
164,35539,2,2,6389,80,0.05
165,35540,11,3,3368,58,0.2413793103448276
166,35541,0,0,1800,20,0.0
167,35548,0,1,2221,27,0.037037037037037035
168,35560,0,0,3471,44,0.0
169,35562,5,3,2096,29,0.27586206896551724
170,35564,4,3,1161,23,0.30434782608695654
171,35600,1,0,1035,12,0.08333333333333333
172,35773,24,9,7760,112,0.29464285714285715
173,35871,0,0,1320,19,0.0
174,35939,5,0,7945,92,0.05434782608695652
175,36350,1,0,3303,53,0.018867924528301886
176,36356,0,0,554,7,0.0
177,36371,2,0,638,17,0.11764705882352941
178,37337,6,0,4364,69,0.08695652173913043
179,37397,0,0,2882,36,0.0
180,37399,3,1,1702,28,0.14285714285714285
181,37403,0,0,5326,60,0.0
182,37501,20,1,3342,58,0.3620689655172414
183,37579,2,3,883,14,0.35714285714285715
184,37666,11,10,3593,66,0.3181818181818182
185,37712,3,2,7460,89,0.056179775280898875
186,37834,19,3,5324,93,0.23655913978494625
187,37892,0,0,2252,27,0.0
188,37906,0,0,243,3,0.0
189,37917,13,11,6985,130,0.18461538461538463
190,38270,0,0,1807,23,0.0
191,38414,0,1,854,16,0.0625
192,39004,0,0,365,5,0.0
193,39151,2,1,4904,78,0.038461538461538464
194,39152,7,0,997,22,0.3181818181818182
195,39381,66,31,10714,149,0.6510067114093959
196,39907,6,4,13083,178,0.056179775280898875
197,40423,0,0,9555,107,0.0
198,40428,0,1,4405,59,0.01694915254237288
199,40442,1,1,1342,32,0.0625
200,40888,6,16,10596,158,0.13924050632911392
201,41281,2,2,4972,60,0.06666666666666667
202,41355,1,2,615,16,0.1875
203,41749,0,0,180,2,0.0
204,42373,0,0,7452,83,0.0
205,42714,5,1,1753,22,0.2727272727272727
206,42920,1,1,2232,48,0.041666666666666664
207,42935,0,1,1038,15,0.06666666666666667
208,43003,3,1,4474,55,0.07272727272727272
209,43256,1,0,1238,15,0.06666666666666667
210,43264,0,8,3798,44,0.18181818181818182
211,44012,4,2,4115,52,0.11538461538461539
212,44027,6,1,1462,26,0.2692307692307692
213,44062,0,3,9356,105,0.02857142857142857
214,44065,5,6,7829,131,0.08396946564885496
215,44069,4,6,10439,135,0.07407407407407407
216,44073,14,3,7995,117,0.1452991452991453
217,44162,0,0,620,19,0.0
218,44317,0,0,678,9,0.0
219,44352,176,78,20280,258,0.9844961240310077
220,44373,1,3,3812,50,0.08
221,44412,12,4,7926,96,0.16666666666666666
222,44501,11,37,14672,188,0.2553191489361702
223,44514,5,1,1590,28,0.21428571428571427
224,44674,1,3,1388,26,0.15384615384615385
225,44675,0,0,436,13,0.0
226,44699,2,7,6307,78,0.11538461538461539
227,44735,0,1,3663,45,0.022222222222222223
228,44779,10,9,3513,54,0.35185185185185186
229,45121,8,0,1218,23,0.34782608695652173
230,45184,2,1,4986,58,0.05172413793103448
231,45256,5,1,6982,81,0.07407407407407407
232,45305,0,3,5374,69,0.043478260869565216
233,45314,0,0,295,4,0.0
234,45319,5,5,6047,78,0.1282051282051282
235,45335,19,7,4033,71,0.36619718309859156
236,45383,18,11,5740,104,0.27884615384615385
237,45599,1,2,1787,23,0.13043478260869565
238,45639,3,3,5843,97,0.061855670103092786
239,45653,4,2,4211,50,0.12
240,45710,1,4,1412,23,0.21739130434782608
241,45775,0,0,241,10,0.0
242,45882,0,0,2880,32,0.0
243,45912,0,1,11240,127,0.007874015748031496
244,46104,6,4,1204,21,0.47619047619047616
245,46110,0,1,791,13,0.07692307692307693
246,46215,17,2,3006,51,0.37254901960784315
247,46220,3,4,1917,27,0.25925925925925924
248,46413,32,6,6470,93,0.40860215053763443
249,46415,16,6,5021,80,0.275
250,47647,2,0,2007,37,0.05405405405405406
251,47659,0,0,540,6,0.0
252,48859,2,0,3586,46,0.043478260869565216
253,49500,5,13,15721,182,0.0989010989010989
254,49795,0,0,356,18,0.0
255,50202,4,8,2429,48,0.25
256,50355,2,0,749,14,0.14285714285714285
257,50487,5,1,1263,31,0.1935483870967742
258,50935,8,7,1304,32,0.46875
259,51046,3,2,4243,52,0.09615384615384616
260,51058,0,3,1306,21,0.14285714285714285
261,51118,0,1,4212,49,0.02040816326530612
262,51174,6,8,7548,89,0.15730337078651685
263,51226,0,0,1123,14,0.0
264,51426,6,1,5352,79,0.08860759493670886
265,51471,1,6,3707,73,0.0958904109589041
266,51474,6,8,7575,124,0.11290322580645161
267,51489,0,0,384,6,0.0
268,51504,0,0,450,5,0.0
269,51510,40,13,8950,179,0.29608938547486036
270,51532,0,0,186,10,0.0
271,51535,0,1,2157,25,0.04
272,51547,0,0,282,5,0.0
273,51559,10,3,2611,40,0.325
274,51587,17,21,10522,169,0.22485207100591717
275,51663,2,1,3466,46,0.06521739130434782
276,51667,2,2,6217,75,0.05333333333333334
277,51710,0,0,17760,193,0.0
278,52345,0,0,490,11,0.0
279,52403,5,1,11411,134,0.04477611940298507
280,52428,11,2,2211,35,0.37142857142857144
281,52432,0,0,54,5,0.0
282,52469,12,8,11726,165,0.12121212121212122
283,53239,0,0,114,3,0.0
284,53293,0,0,682,8,0.0
285,53350,0,0,561,8,0.0
286,54155,0,5,4327,54,0.09259259259259259
287,54217,0,0,990,11,0.0
288,54231,2,3,4219,58,0.08620689655172414
289,54235,35,28,16261,222,0.28378378378378377
290,54245,9,21,8477,141,0.2127659574468085
291,54774,0,1,1797,28,0.03571428571428571
292,54781,6,0,3098,35,0.17142857142857143
293,54859,0,0,412,6,0.0
294,54928,10,5,13477,156,0.09615384615384616
295,54935,0,0,669,10,0.0
296,55135,0,0,1440,17,0.0
297,55215,0,0,527,13,0.0
298,55240,1,1,6727,85,0.023529411764705882
299,55619,8,10,4679,74,0.24324324324324326
300,55854,0,0,576,7,0.0
301,55866,0,1,2768,32,0.03125
302,56046,0,1,524,11,0.09090909090909091
303,56066,0,2,4495,61,0.03278688524590164
304,56067,20,21,8256,151,0.271523178807947
305,56134,4,1,9735,125,0.04
306,56777,1,4,9295,123,0.04065040650406504
307,56790,2,0,747,14,0.14285714285714285
308,57162,7,9,3191,54,0.2962962962962963
309,57186,0,0,603,7,0.0
310,57229,9,3,1939,34,0.35294117647058826
311,57403,0,0,481,8,0.0
312,57522,0,1,7210,81,0.012345679012345678
313,57693,0,0,585,7,0.0
314,57785,2,1,2908,38,0.07894736842105263
315,57791,3,0,2263,32,0.09375
316,57800,0,0,2070,23,0.0
317,57816,0,4,2787,38,0.10526315789473684
318,57818,0,0,90,1,0.0
319,57825,45,20,11824,199,0.32663316582914576
320,57866,0,0,221,4,0.0
321,57876,0,0,3327,49,0.0
322,57935,0,0,381,17,0.0
323,57943,0,1,1176,21,0.047619047619047616
324,57944,0,0,726,10,0.0
325,57961,3,3,1438,18,0.3333333333333333
326,58001,11,4,1771,29,0.5172413793103449
327,58064,0,0,360,4,0.0
328,58070,3,0,2126,28,0.10714285714285714
329,58074,0,6,2586,36,0.16666666666666666
330,58076,3,5,3066,49,0.16326530612244897
331,58112,0,3,2423,38,0.07894736842105263
332,58115,0,0,3964,47,0.0
333,58281,2,1,4169,57,0.05263157894736842
334,58330,3,8,7023,98,0.11224489795918367
335,58341,0,0,4961,56,0.0
336,58345,21,9,4629,61,0.4918032786885246
337,58405,5,2,1378,26,0.2692307692307692
338,58426,3,0,1830,24,0.125
339,58474,0,0,789,10,0.0
340,58497,0,0,2070,23,0.0
341,58576,2,1,1686,24,0.125
342,58774,0,1,411,8,0.125
343,58799,11,11,6283,110,0.2
344,58818,4,2,2827,51,0.11764705882352941
345,58864,11,1,1100,17,0.7058823529411765
346,58874,8,5,7364,83,0.1566265060240964
347,58884,11,4,11977,163,0.09202453987730061
348,58949,4,5,1612,32,0.28125
349,59016,3,5,3096,30,0.26666666666666666
350,59248,0,1,1946,26,0.038461538461538464
351,59323,53,0,7393,102,0.5196078431372549
352,59343,0,0,556,7,0.0
353,59344,10,9,12978,173,0.10982658959537572
354,59349,0,0,5130,57,0.0
355,59375,8,6,8257,120,0.11666666666666667
356,59551,4,7,5211,87,0.12643678160919541
357,59561,53,54,24309,277,0.3862815884476534
358,59783,0,0,169,6,0.0
359,59938,1,0,197,3,0.3333333333333333
360,60289,0,0,66,1,0.0
361,60410,2,5,4964,61,0.11475409836065574
362,60445,4,5,5602,88,0.10227272727272728
363,60542,0,3,5082,79,0.0379746835443038
364,60890,35,32,16020,200,0.335
365,61344,3,3,2012,46,0.13043478260869565
366,61401,1,0,191,6,0.16666666666666666
367,61464,4,1,2007,36,0.1388888888888889
368,61546,4,3,8398,105,0.06666666666666667
369,61637,0,1,803,15,0.06666666666666667
370,61812,9,17,15266,182,0.14285714285714285
371,62144,2,1,2883,45,0.06666666666666667
372,62611,0,0,799,26,0.0
373,62713,0,0,145,3,0.0
374,62913,0,0,5419,70,0.0
375,62920,5,4,15535,182,0.04945054945054945
376,62941,0,0,167,3,0.0
377,62945,1,2,10048,107,0.028037383177570093
378,63040,3,5,8321,122,0.06557377049180328
379,63056,23,14,7726,131,0.2824427480916031
380,63186,9,5,3601,55,0.2545454545454545
381,63290,5,15,12555,167,0.11976047904191617
382,63463,16,29,17762,225,0.2
383,63494,2,1,3992,46,0.06521739130434782
384,63689,8,2,5220,76,0.13157894736842105
385,63706,0,0,540,6,0.0
386,63723,7,0,8448,99,0.0707070707070707
387,64000,0,0,6345,71,0.0
388,64134,4,2,10618,133,0.045112781954887216
389,64308,1,0,731,13,0.07692307692307693
390,64363,0,3,6385,78,0.038461538461538464
391,64399,0,0,9090,101,0.0
392,64411,3,12,12821,160,0.09375
393,64484,9,2,2545,65,0.16923076923076924
394,64598,5,3,9335,107,0.07476635514018691
395,64992,0,0,289,4,0.0
396,65230,6,20,21981,272,0.09558823529411764
397,65233,0,0,133,6,0.0
398,65237,2,2,5869,70,0.05714285714285714
399,65239,1,0,742,13,0.07692307692307693
400,65243,2,2,2378,42,0.09523809523809523
401,65263,0,0,8730,96,0.0
402,65278,6,6,1531,35,0.34285714285714286
403,65301,0,0,1493,29,0.0
404,65318,4,10,14803,187,0.0748663101604278
405,65331,5,4,6369,97,0.09278350515463918
406,65467,25,9,11520,172,0.19767441860465115
407,65489,0,0,1749,29,0.0
408,66099,0,6,4056,61,0.09836065573770492
409,66106,35,36,17821,252,0.28174603174603174
410,66110,0,0,172,5,0.0
411,66112,5,10,6126,98,0.15306122448979592
412,66413,0,0,367,6,0.0
413,66736,1,1,1197,17,0.11764705882352941
414,67080,9,8,15254,176,0.09659090909090909
415,67082,19,23,10259,174,0.2413793103448276
416,67089,6,3,7447,91,0.0989010989010989
417,67090,0,2,6883,95,0.021052631578947368
418,67542,0,1,1233,20,0.05
419,67544,0,0,210,9,0.0
420,67546,4,3,5677,65,0.1076923076923077
421,67548,19,21,9625,154,0.2597402597402597
422,67808,5,11,8553,119,0.13445378151260504
423,67823,0,0,1688,24,0.0
424,67920,4,1,1009,18,0.2777777777777778
425,68290,59,34,8280,97,0.9587628865979382
426,68645,2,7,6939,86,0.10465116279069768
427,69001,0,0,225,3,0.0
428,69006,2,0,463,8,0.25
429,69609,0,0,2898,42,0.0
430,69660,1,0,4465,56,0.017857142857142856
431,69751,13,54,20618,245,0.27346938775510204
432,69819,1,1,566,21,0.09523809523809523
433,70245,0,0,2092,27,0.0
434,70767,0,0,151,6,0.0
435,70898,0,0,1709,26,0.0
436,70934,43,33,12329,189,0.4021164021164021
437,70946,0,1,469,9,0.1111111111111111
438,71002,0,0,6,2,0.0
439,71204,0,0,4337,53,0.0
440,71206,0,0,1170,13,0.0
441,71273,6,1,1810,34,0.20588235294117646
442,71394,10,6,3089,45,0.35555555555555557
443,71548,5,7,13604,169,0.07100591715976332
444,71559,7,1,10551,128,0.0625
445,71570,0,1,6295,71,0.014084507042253521
