,player_pretty_name,competition_id,goals,assists,minutes_played,yellow_cards,red_cards,player_club_id
0,Aaron Escandell,ES1,0,0,1003,2,0,201540
1,Aaron Martin,ES1,0,3,6943,12,0,62128
2,Aaron Niguez,ES1,0,1,1176,5,0,32151
3,Abdallahi Mahmoud,ES1,0,0,215,1,0,3755
4,Abdon Prats,ES1,3,0,943,3,0,11613
5,Abdoul Wahid Sissoko,ES1,0,0,767,1,0,184745
6,Abdoulay Diaby,ES1,0,0,17,0,0,3709
7,Abdoulaye Ba,ES1,1,1,3733,14,2,16882
8,Abdoulaye Doucoure,ES1,0,2,1157,5,0,251925
9,Abdul Mumin,ES1,0,0,11,0,0,367
10,Abdul Rahman Baba,ES1,0,0,109,1,0,474
11,Abel Gomez,ES1,0,0,1258,2,0,21846
12,Abraham Gonzalez,ES1,2,2,2378,3,0,29988
13,Abraham Minero,ES1,1,2,1319,6,0,33726
14,Achraf Hakimi,ES1,2,0,757,0,0,3762
15,Adalberto Penaranda,ES1,5,3,2659,12,0,403629
16,Adama Traore,ES1,0,2,378,0,0,1441
17,Aday Benitez,ES1,2,3,2477,12,0,505161
18,Aderllan Santos,ES1,0,0,2521,3,0,30421
19,Adil Rami,ES1,0,1,4212,14,0,18032
20,Adnan Januzaj,ES1,15,15,6632,15,0,89892
21,Adnane Tighadouini,ES1,1,0,387,0,0,10840
22,Adria Pedrosa,ES1,2,1,3805,11,0,36414
23,Adrian Butzke,ES1,0,0,1,0,0,16795
24,Adrian Colunga,ES1,0,0,221,0,1,67180
25,Adrian Dieguez,ES1,0,0,1185,8,0,56707
26,Adrian Embarba,ES1,12,18,8409,20,0,74946
27,Adrian Gonzalez,ES1,14,3,7995,26,1,166284
28,Adrian Guerrero,ES1,0,0,127,1,0,17844
29,Adrian Gunino,ES1,0,0,1946,4,0,22839
30,Adrian Lopez,ES1,18,11,5740,2,0,73693
31,Adrian Marin,ES1,0,2,3862,11,0,211711
32,Adrian Ortola,ES1,0,0,180,0,0,2216
33,Adrian Ramos,ES1,4,1,1352,4,0,352695
34,Adriano,ES1,0,2,1386,2,0,3144
35,Ager Aketxe,ES1,1,1,514,2,0,8694
36,Agustin Marchesin,ES1,0,0,540,1,0,5640
37,Aihen Munoz,ES1,0,1,4944,11,0,57595
38,Aimar Oroz,ES1,2,0,327,1,0,1655
39,Aissa Mandi,ES1,8,3,14660,41,2,42750
40,Aitor Bunuel,ES1,0,0,1027,3,0,6514
41,Aitor Cantalapiedra,ES1,0,0,3,0,0,1050
42,Aitor Fernandez,ES1,0,0,8457,4,1,316592
43,Aitor Paredes,ES1,0,0,3,0,0,1242
44,Aitor Ruibal,ES1,2,2,4018,13,0,40284
45,Akram Afif,ES1,0,0,231,2,0,22032
46,Alberto Aquilani,ES1,0,0,1298,4,0,9912
47,Alberto Brignoli,ES1,0,0,60,0,0,1244
48,Alberto Bueno,ES1,19,7,4033,4,0,257155
49,Alberto De La Bella,ES1,1,5,4683,14,0,37455
50,Alberto Garcia,ES1,0,0,2070,1,0,20927
51,Alberto Guitian,ES1,0,0,90,1,0,2448
52,Alberto Lopez,ES1,0,0,45,0,0,714
53,Alberto Lopo,ES1,2,0,3413,21,0,35880
54,Alberto Lora,ES1,0,4,2787,9,0,93024
55,Alberto Martin,ES1,0,0,1192,7,0,19904
56,Alberto Moreno,ES1,3,2,2891,9,0,49350
57,Alberto Perea,ES1,2,4,2325,2,0,120915
